model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
itemknn,A,global_0.6,0.6,5,1,0.0043,0.0028,0.0033,0.0039,1.1685,0.9522,4.7612,1.0,0.6242,0.2696,0.2334,0.9549,0.95,0.0049
itemknn,A,global_0.8,0.8,5,1,0.0023,0.0014,0.0017,0.002,0.1934,1.0,5.0,1.0,0.3085,0.1018,0.0369,1.0,1.0,0.0
itemknn,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
itemknn,A,behavioral,p,5,1,0.0066,0.0045,0.0052,0.0068,5.1891,0.7227,3.6136,0.9874,0.8139,0.5583,0.0193,0.8511,0.6162,0.2348
itemknn,A,semantic,p,5,1,0.0047,0.0029,0.0035,0.0043,1.588,0.924,4.62,0.9998,0.6481,0.3221,0.1619,0.923,0.9248,-0.0019
itemknn,A,hybrid_5,p,5,1,0.0064,0.0043,0.005,0.0064,3.6263,0.808,4.0398,0.9962,0.7784,0.4721,0.0595,0.8823,0.7463,0.136
itemknn,A,hybrid_10,p,5,1,0.0061,0.0041,0.0047,0.0059,2.9565,0.8476,4.2378,0.9986,0.7481,0.4259,0.0877,0.8961,0.8073,0.0888
itemknn,A,hybrid_20,p,5,1,0.0058,0.0038,0.0045,0.0056,2.3929,0.8793,4.3964,0.9998,0.7182,0.3908,0.1256,0.9072,0.8561,0.0511
itemknn,B,global_0.0,0.0,5,1,0.0098,0.0066,0.0076,0.0097,13.5442,0.3379,1.6896,0.8778,0.7238,0.723,0.006,0.3321,0.3428,-0.0107
itemknn,B,global_0.2,0.2,5,1,0.0083,0.0057,0.0065,0.0084,9.8436,0.4879,2.4394,0.9778,0.8454,0.7014,0.0275,0.4835,0.4915,-0.0079
itemknn,B,global_0.4,0.4,5,1,0.0081,0.0054,0.0063,0.0076,7.7996,0.5936,2.968,0.998,0.835,0.6472,0.1056,0.5981,0.5899,0.0082
itemknn,B,global_0.6,0.6,5,1,0.0072,0.0049,0.0056,0.0064,6.1036,0.6947,3.4734,1.0,0.7931,0.5797,0.1935,0.6982,0.6918,0.0064
itemknn,B,global_0.8,0.8,5,1,0.0063,0.0042,0.0049,0.0056,4.7951,0.7773,3.8864,1.0,0.6927,0.4955,0.2552,0.7787,0.7761,0.0027
itemknn,B,global_1.0,1.0,5,1,0.0011,0.0006,0.0008,0.0008,1.3958,0.8,4.0,1.0,0.002,0.0009,0.3589,0.8,0.8,0.0
itemknn,B,behavioral,p,5,1,0.0081,0.0055,0.0063,0.0081,8.6551,0.5505,2.7524,0.987,0.8422,0.6739,0.0698,0.6113,0.5,0.1113
itemknn,B,semantic,p,5,1,0.0075,0.005,0.0058,0.0068,6.2459,0.6873,3.4364,0.9998,0.7951,0.5859,0.1851,0.6865,0.6879,-0.0013
itemknn,B,hybrid_5,p,5,1,0.0081,0.0054,0.0063,0.0078,7.8653,0.5911,2.9556,0.9962,0.8366,0.6504,0.1033,0.635,0.5547,0.0803
itemknn,B,hybrid_10,p,5,1,0.0081,0.0055,0.0063,0.0076,7.4858,0.6132,3.0662,0.9986,0.833,0.6364,0.1213,0.6471,0.5851,0.062
itemknn,B,hybrid_20,p,5,1,0.0078,0.0053,0.0061,0.0074,7.0645,0.6366,3.1832,0.9998,0.823,0.6205,0.1424,0.6596,0.6176,0.0419
mf,none,none,none,5,1,0.014,0.0092,0.0107,0.0131,12.3694,0.2433,1.2166,0.7684,0.0199,0.0247,-0.0087,0.2447,0.2422,0.0026
mf,A,global_0.0,0.0,5,1,0.014,0.0092,0.0107,0.0131,12.3694,0.2433,1.2166,0.7684,0.0199,0.0247,-0.0087,0.2447,0.2422,0.0026
mf,A,global_0.2,0.2,5,1,0.0122,0.0079,0.0093,0.0113,7.7848,0.4779,2.3894,0.952,0.0395,0.0201,0.0496,0.4695,0.4848,-0.0153
mf,A,global_0.4,0.4,5,1,0.0112,0.0071,0.0085,0.0104,6.1615,0.5716,2.8578,0.9768,0.0331,0.0157,-0.0069,0.5608,0.5805,-0.0196
mf,A,global_0.6,0.6,5,1,0.01,0.0063,0.0076,0.0094,3.7551,0.7569,3.7846,0.9976,0.0359,0.0149,-0.0085,0.7526,0.7605,-0.0079
mf,A,global_0.8,0.8,5,1,0.0047,0.0029,0.0035,0.005,0.1935,1.0,5.0,1.0,0.0287,0.0095,0.1159,1.0,1.0,0.0
mf,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
mf,A,behavioral,p,5,1,0.012,0.0077,0.0091,0.011,6.8107,0.5359,2.6794,0.9626,0.0411,0.0214,0.0076,0.5924,0.489,0.1034
mf,A,semantic,p,5,1,0.009,0.0058,0.0069,0.0087,3.34,0.7795,3.8976,0.996,0.0363,0.0162,0.0449,0.7612,0.7947,-0.0335
mf,A,hybrid_5,p,5,1,0.0113,0.0073,0.0086,0.0106,6.0562,0.5836,2.918,0.9776,0.0395,0.0191,-0.0106,0.6279,0.5469,0.081
mf,A,hybrid_10,p,5,1,0.011,0.007,0.0084,0.0103,5.6419,0.6135,3.0676,0.9828,0.0375,0.0175,-0.0116,0.6512,0.5823,0.0689
mf,A,hybrid_20,p,5,1,0.0107,0.0068,0.0081,0.0099,5.0693,0.6567,3.2834,0.9876,0.0371,0.0168,-0.0094,0.6823,0.6354,0.0469
mf,B,global_0.0,0.0,5,1,0.0147,0.0096,0.0113,0.0133,12.6465,0.2021,1.0104,0.6726,0.0116,0.0142,-0.0351,0.2056,0.1992,0.0064
mf,B,global_0.2,0.2,5,1,0.0134,0.0087,0.0102,0.0122,8.8007,0.405,2.0252,0.952,0.0319,0.0189,0.0265,0.4034,0.4064,-0.0029
mf,B,global_0.4,0.4,5,1,0.0127,0.0082,0.0097,0.0115,7.9083,0.4684,2.342,0.9768,0.0371,0.0199,0.0358,0.4634,0.4725,-0.0091
